sport,event_id,event_name,bookmaker,market_type,team,price,point
basketball_nba,9a0fb240f3f4db66d5ef34a3f5eb1c5f,Charlotte Hornets vs Los Angeles Clippers,DraftKings,h2h,Charlotte Hornets,15.0,
basketball_nba,9a0fb240f3f4db66d5ef34a3f5eb1c5f,Charlotte Hornets vs Los Angeles Clippers,DraftKings,h2h,Los Angeles Clippers,1.03,
basketball_nba,9a0fb240f3f4db66d5ef34a3f5eb1c5f,Charlotte Hornets vs Los Angeles Clippers,FanDuel,h2h,Charlotte Hornets,14.0,
basketball_nba,9a0fb240f3f4db66d5ef34a3f5eb1c5f,Charlotte Hornets vs Los Angeles Clippers,FanDuel,h2h,Los Angeles Clippers,1.02,
basketball_nba,9a0fb240f3f4db66d5ef34a3f5eb1c5f,Charlotte Hornets vs Los Angeles Clippers,Caesars,h2h,Charlotte Hornets,12.0,
basketball_nba,9a0fb240f3f4db66d5ef34a3f5eb1c5f,Charlotte Hornets vs Los Angeles Clippers,Caesars,h2h,Los Angeles Clippers,1.03,
basketball_nba,9a0fb240f3f4db66d5ef34a3f5eb1c5f,Charlotte Hornets vs Los Angeles Clippers,BetMGM,h2h,Charlotte Hornets,16.5,
basketball_nba,9a0fb240f3f4db66d5ef34a3f5eb1c5f,Charlotte Hornets vs Los Angeles Clippers,BetMGM,h2h,Los Angeles Clippers,1.01,
basketball_nba,61e8c9aef77b250a0f8570b40355442e,Toronto Raptors vs Philadelphia 76ers,DraftKings,h2h,Philadelphia 76ers,1.02,
basketball_nba,61e8c9aef77b250a0f8570b40355442e,Toronto Raptors vs Philadelphia 76ers,DraftKings,h2h,Toronto Raptors,19.0,
basketball_nba,61e8c9aef77b250a0f8570b40355442e,Toronto Raptors vs Philadelphia 76ers,FanDuel,h2h,Philadelphia 76ers,1.02,
basketball_nba,61e8c9aef77b250a0f8570b40355442e,Toronto Raptors vs Philadelphia 76ers,FanDuel,h2h,Toronto Raptors,15.0,
basketball_nba,61e8c9aef77b250a0f8570b40355442e,Toronto Raptors vs Philadelphia 76ers,Caesars,h2h,Philadelphia 76ers,1.02,
basketball_nba,61e8c9aef77b250a0f8570b40355442e,Toronto Raptors vs Philadelphia 76ers,Caesars,h2h,Toronto Raptors,13.0,
basketball_nba,61e8c9aef77b250a0f8570b40355442e,Toronto Raptors vs Philadelphia 76ers,BetMGM,h2h,Philadelphia 76ers,1.01,
basketball_nba,61e8c9aef77b250a0f8570b40355442e,Toronto Raptors vs Philadelphia 76ers,BetMGM,h2h,Toronto Raptors,15.5,
basketball_nba,a64e07a473570af03a3607c518584ab3,Washington Wizards vs Miami Heat,DraftKings,h2h,Miami Heat,1.14,
basketball_nba,a64e07a473570af03a3607c518584ab3,Washington Wizards vs Miami Heat,DraftKings,h2h,Washington Wizards,5.5,
basketball_nba,a64e07a473570af03a3607c518584ab3,Washington Wizards vs Miami Heat,Caesars,h2h,Miami Heat,1.14,
basketball_nba,a64e07a473570af03a3607c518584ab3,Washington Wizards vs Miami Heat,Caesars,h2h,Washington Wizards,5.5,
basketball_nba,a64e07a473570af03a3607c518584ab3,Washington Wizards vs Miami Heat,FanDuel,h2h,Miami Heat,1.12,
basketball_nba,a64e07a473570af03a3607c518584ab3,Washington Wizards vs Miami Heat,FanDuel,h2h,Washington Wizards,6.0,
basketball_nba,a64e07a473570af03a3607c518584ab3,Washington Wizards vs Miami Heat,BetMGM,h2h,Miami Heat,1.13,
basketball_nba,a64e07a473570af03a3607c518584ab3,Washington Wizards vs Miami Heat,BetMGM,h2h,Washington Wizards,6.0,
basketball_nba,10ec472040ee7d1cf9124a6da48efec5,Brooklyn Nets vs Los Angeles Lakers,DraftKings,h2h,Brooklyn Nets,13.0,
basketball_nba,10ec472040ee7d1cf9124a6da48efec5,Brooklyn Nets vs Los Angeles Lakers,DraftKings,h2h,Los Angeles Lakers,1.04,
basketball_nba,10ec472040ee7d1cf9124a6da48efec5,Brooklyn Nets vs Los Angeles Lakers,FanDuel,h2h,Brooklyn Nets,16.0,
basketball_nba,10ec472040ee7d1cf9124a6da48efec5,Brooklyn Nets vs Los Angeles Lakers,FanDuel,h2h,Los Angeles Lakers,1.01,
basketball_nba,10ec472040ee7d1cf9124a6da48efec5,Brooklyn Nets vs Los Angeles Lakers,Caesars,h2h,Brooklyn Nets,15.0,
basketball_nba,10ec472040ee7d1cf9124a6da48efec5,Brooklyn Nets vs Los Angeles Lakers,Caesars,h2h,Los Angeles Lakers,1.02,
basketball_nba,10ec472040ee7d1cf9124a6da48efec5,Brooklyn Nets vs Los Angeles Lakers,BetMGM,h2h,Brooklyn Nets,19.0,
basketball_nba,10ec472040ee7d1cf9124a6da48efec5,Brooklyn Nets vs Los Angeles Lakers,BetMGM,h2h,Los Angeles Lakers,1.01,
basketball_nba,ba1db52470fcf89f37df032a905cecce,San Antonio Spurs vs Golden State Warriors,DraftKings,h2h,Golden State Warriors,1.19,
basketball_nba,ba1db52470fcf89f37df032a905cecce,San Antonio Spurs vs Golden State Warriors,DraftKings,h2h,San Antonio Spurs,4.9,
basketball_nba,ba1db52470fcf89f37df032a905cecce,San Antonio Spurs vs Golden State Warriors,FanDuel,h2h,Golden State Warriors,1.19,
basketball_nba,ba1db52470fcf89f37df032a905cecce,San Antonio Spurs vs Golden State Warriors,FanDuel,h2h,San Antonio Spurs,5.0,
basketball_nba,ba1db52470fcf89f37df032a905cecce,San Antonio Spurs vs Golden State Warriors,Caesars,h2h,Golden State Warriors,1.18,
basketball_nba,ba1db52470fcf89f37df032a905cecce,San Antonio Spurs vs Golden State Warriors,Caesars,h2h,San Antonio Spurs,5.0,
basketball_nba,ba1db52470fcf89f37df032a905cecce,San Antonio Spurs vs Golden State Warriors,BetMGM,h2h,Golden State Warriors,1.18,
basketball_nba,ba1db52470fcf89f37df032a905cecce,San Antonio Spurs vs Golden State Warriors,BetMGM,h2h,San Antonio Spurs,5.0,
basketball_nba,037397a79667854289dfd06671aad824,New York Knicks vs Oklahoma City Thunder,DraftKings,h2h,New York Knicks,2.02,
basketball_nba,037397a79667854289dfd06671aad824,New York Knicks vs Oklahoma City Thunder,DraftKings,h2h,Oklahoma City Thunder,1.82,
basketball_nba,037397a79667854289dfd06671aad824,New York Knicks vs Oklahoma City Thunder,FanDuel,h2h,New York Knicks,2.1,
basketball_nba,037397a79667854289dfd06671aad824,New York Knicks vs Oklahoma City Thunder,FanDuel,h2h,Oklahoma City Thunder,1.77,
basketball_nba,037397a79667854289dfd06671aad824,New York Knicks vs Oklahoma City Thunder,Caesars,h2h,New York Knicks,2.05,
basketball_nba,037397a79667854289dfd06671aad824,New York Knicks vs Oklahoma City Thunder,Caesars,h2h,Oklahoma City Thunder,1.8,
basketball_nba,037397a79667854289dfd06671aad824,New York Knicks vs Oklahoma City Thunder,BetMGM,h2h,New York Knicks,2.1,
basketball_nba,037397a79667854289dfd06671aad824,New York Knicks vs Oklahoma City Thunder,BetMGM,h2h,Oklahoma City Thunder,1.74,
basketball_nba,ff88f778f1aca4397116db8ee499957e,Minnesota Timberwolves vs Chicago Bulls,DraftKings,h2h,Chicago Bulls,4.0,
basketball_nba,ff88f778f1aca4397116db8ee499957e,Minnesota Timberwolves vs Chicago Bulls,DraftKings,h2h,Minnesota Timberwolves,1.26,
basketball_nba,ff88f778f1aca4397116db8ee499957e,Minnesota Timberwolves vs Chicago Bulls,FanDuel,h2h,Chicago Bulls,4.0,
basketball_nba,ff88f778f1aca4397116db8ee499957e,Minnesota Timberwolves vs Chicago Bulls,FanDuel,h2h,Minnesota Timberwolves,1.27,
basketball_nba,ff88f778f1aca4397116db8ee499957e,Minnesota Timberwolves vs Chicago Bulls,Caesars,h2h,Chicago Bulls,4.1,
basketball_nba,ff88f778f1aca4397116db8ee499957e,Minnesota Timberwolves vs Chicago Bulls,Caesars,h2h,Minnesota Timberwolves,1.25,
basketball_nba,ff88f778f1aca4397116db8ee499957e,Minnesota Timberwolves vs Chicago Bulls,BetMGM,h2h,Chicago Bulls,4.1,
basketball_nba,ff88f778f1aca4397116db8ee499957e,Minnesota Timberwolves vs Chicago Bulls,BetMGM,h2h,Minnesota Timberwolves,1.25,
basketball_nba,334977eee0d00129b598bc762211ebf7,Houston Rockets vs Dallas Mavericks,DraftKings,h2h,Dallas Mavericks,1.6,
basketball_nba,334977eee0d00129b598bc762211ebf7,Houston Rockets vs Dallas Mavericks,DraftKings,h2h,Houston Rockets,2.4,
basketball_nba,334977eee0d00129b598bc762211ebf7,Houston Rockets vs Dallas Mavericks,FanDuel,h2h,Dallas Mavericks,1.58,
basketball_nba,334977eee0d00129b598bc762211ebf7,Houston Rockets vs Dallas Mavericks,FanDuel,h2h,Houston Rockets,2.44,
basketball_nba,334977eee0d00129b598bc762211ebf7,Houston Rockets vs Dallas Mavericks,Caesars,h2h,Dallas Mavericks,1.61,
basketball_nba,334977eee0d00129b598bc762211ebf7,Houston Rockets vs Dallas Mavericks,Caesars,h2h,Houston Rockets,2.4,
basketball_nba,334977eee0d00129b598bc762211ebf7,Houston Rockets vs Dallas Mavericks,BetMGM,h2h,Dallas Mavericks,1.61,
basketball_nba,334977eee0d00129b598bc762211ebf7,Houston Rockets vs Dallas Mavericks,BetMGM,h2h,Houston Rockets,2.4,
basketball_nba,701550171abbecc509088af8e73168c5,Sacramento Kings vs Utah Jazz,DraftKings,h2h,Sacramento Kings,1.11,
basketball_nba,701550171abbecc509088af8e73168c5,Sacramento Kings vs Utah Jazz,DraftKings,h2h,Utah Jazz,7.0,
basketball_nba,701550171abbecc509088af8e73168c5,Sacramento Kings vs Utah Jazz,FanDuel,h2h,Sacramento Kings,1.1,
basketball_nba,701550171abbecc509088af8e73168c5,Sacramento Kings vs Utah Jazz,FanDuel,h2h,Utah Jazz,7.6,
basketball_nba,701550171abbecc509088af8e73168c5,Sacramento Kings vs Utah Jazz,Caesars,h2h,Sacramento Kings,1.11,
basketball_nba,701550171abbecc509088af8e73168c5,Sacramento Kings vs Utah Jazz,Caesars,h2h,Utah Jazz,7.0,
basketball_nba,701550171abbecc509088af8e73168c5,Sacramento Kings vs Utah Jazz,BetMGM,h2h,Sacramento Kings,1.11,
basketball_nba,701550171abbecc509088af8e73168c5,Sacramento Kings vs Utah Jazz,BetMGM,h2h,Utah Jazz,7.0,
basketball_nba,216590fe70aabd1630ad884fa996b7d9,Charlotte Hornets vs Boston Celtics,DraftKings,h2h,Boston Celtics,1.06,
basketball_nba,216590fe70aabd1630ad884fa996b7d9,Charlotte Hornets vs Boston Celtics,DraftKings,h2h,Charlotte Hornets,10.0,
basketball_nba,216590fe70aabd1630ad884fa996b7d9,Charlotte Hornets vs Boston Celtics,FanDuel,h2h,Boston Celtics,1.05,
basketball_nba,216590fe70aabd1630ad884fa996b7d9,Charlotte Hornets vs Boston Celtics,FanDuel,h2h,Charlotte Hornets,12.0,
basketball_nba,67577af1e344d542b8a36393414b79c6,Indiana Pacers vs Brooklyn Nets,DraftKings,h2h,Brooklyn Nets,4.5,
basketball_nba,67577af1e344d542b8a36393414b79c6,Indiana Pacers vs Brooklyn Nets,DraftKings,h2h,Indiana Pacers,1.22,
basketball_nba,67577af1e344d542b8a36393414b79c6,Indiana Pacers vs Brooklyn Nets,FanDuel,h2h,Brooklyn Nets,4.85,
basketball_nba,67577af1e344d542b8a36393414b79c6,Indiana Pacers vs Brooklyn Nets,FanDuel,h2h,Indiana Pacers,1.2,
basketball_nba,26f534a196f1345519e841b2e8122763,Detroit Pistons vs Memphis Grizzlies,DraftKings,h2h,Detroit Pistons,1.7,
basketball_nba,26f534a196f1345519e841b2e8122763,Detroit Pistons vs Memphis Grizzlies,DraftKings,h2h,Memphis Grizzlies,2.14,
basketball_nba,26f534a196f1345519e841b2e8122763,Detroit Pistons vs Memphis Grizzlies,FanDuel,h2h,Detroit Pistons,1.69,
basketball_nba,26f534a196f1345519e841b2e8122763,Detroit Pistons vs Memphis Grizzlies,FanDuel,h2h,Memphis Grizzlies,2.22,
basketball_nba,71a374d3f594281f46d022ecb9875370,Orlando Magic vs Portland Trail Blazers,DraftKings,h2h,Orlando Magic,1.07,
basketball_nba,71a374d3f594281f46d022ecb9875370,Orlando Magic vs Portland Trail Blazers,DraftKings,h2h,Portland Trail Blazers,9.0,
basketball_nba,71a374d3f594281f46d022ecb9875370,Orlando Magic vs Portland Trail Blazers,FanDuel,h2h,Orlando Magic,1.06,
basketball_nba,71a374d3f594281f46d022ecb9875370,Orlando Magic vs Portland Trail Blazers,FanDuel,h2h,Portland Trail Blazers,10.8,
basketball_nba,7dfdba59b13fe0dcece92eaa81e602b0,Chicago Bulls vs Atlanta Hawks,DraftKings,h2h,Atlanta Hawks,2.2,
basketball_nba,7dfdba59b13fe0dcece92eaa81e602b0,Chicago Bulls vs Atlanta Hawks,DraftKings,h2h,Chicago Bulls,1.7,
basketball_nba,7dfdba59b13fe0dcece92eaa81e602b0,Chicago Bulls vs Atlanta Hawks,FanDuel,h2h,Atlanta Hawks,2.16,
basketball_nba,7dfdba59b13fe0dcece92eaa81e602b0,Chicago Bulls vs Atlanta Hawks,FanDuel,h2h,Chicago Bulls,1.75,
basketball_nba,fb7e73589036339e3276d32ada2dc133,New Orleans Pelicans vs Phoenix Suns,DraftKings,h2h,New Orleans Pelicans,1.91,
basketball_nba,fb7e73589036339e3276d32ada2dc133,New Orleans Pelicans vs Phoenix Suns,DraftKings,h2h,Phoenix Suns,1.91,
basketball_nba,fb7e73589036339e3276d32ada2dc133,New Orleans Pelicans vs Phoenix Suns,FanDuel,h2h,New Orleans Pelicans,1.89,
